ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0015980,energy derivation by oxidation of organic compounds,144,-0.6546971280522816,-3.046887671976531,8.316664193209547e-25,1.8113694612810396e-21,1.344673284291565e-21,459,"tags=66%, list=22%, signal=55%",NDUFB4/NDUFA11/FXN/AGL/NDUFB6/PHKG1/PHKA1/UQCRQ/IDH3B/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/MDH1/HCCS/PPP1R3D/IDH1/NDUFC1/SUCLG2/NDUFB11/NDUFA4/COX4I1/PDHB/UQCRC2/ETFA/NDUFA6/IDH3A/NDUFB1/NDUFA9/NDUFS7/DLST/NDUFB10/OGDH/SOD2/COQ9/NDUFS4/NDUFA10/PYGM/ADSL/SDHB/PDHA1/ETFB/NDUFA5/CHCHD10/NNT/NDUFB7/CYCS/UQCRFS1/NDUFS3/SORBS1/NDUFA3/ACO2/UQCRB/UQCC2/SDHA/SLC25A12/MDH2/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/FH/NDUFA8/NDUFB3/NDUFV1/SUCLA2/NDUFA13/EPM2A/PPIF/COX5B/COX6B1/ETFDH/NDUFV2/UQCRC1/CS/IDH3G/CISD1/NDUFB8/NDUFB9/COQ10A/SUCLG1/COX7C/NDUFS6/NDUFV3/IDH2/ACADM/LYRM7/ADHFE1/ATG3/PPP1R1A
GO:0045333,cellular respiration,116,-0.6895058102839571,-3.1057712389838397,7.373829688541056e-24,8.03010053082121e-21,5.961159158736349e-21,403,"tags=74%, list=19%, signal=63%",CHCHD2/COX7A2L/NDUFB4/NDUFA11/FXN/NDUFB6/UQCRQ/IDH3B/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/MDH1/HCCS/IDH1/NDUFC1/SUCLG2/NDUFB11/NDUFA4/COX4I1/PDHB/UQCRC2/ETFA/NDUFA6/IDH3A/NDUFB1/NDUFA9/NDUFS7/DLST/NDUFB10/OGDH/SOD2/COQ9/NDUFS4/NDUFA10/ADSL/SDHB/PDHA1/ETFB/NDUFA5/CHCHD10/NNT/NDUFB7/CYCS/UQCRFS1/NDUFS3/NDUFA3/ACO2/UQCRB/UQCC2/SDHA/SLC25A12/MDH2/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/FH/NDUFA8/NDUFB3/NDUFV1/SUCLA2/NDUFA13/PPIF/COX5B/COX6B1/ETFDH/NDUFV2/UQCRC1/CS/IDH3G/CISD1/NDUFB8/NDUFB9/COQ10A/SUCLG1/COX7C/NDUFS6/NDUFV3/IDH2/LYRM7
GO:0009060,aerobic respiration,101,-0.6943673580645962,-3.076666488014576,1.3794752238171377e-21,1.001499012491242e-18,7.43464541678289e-19,484,"tags=76%, list=23%, signal=62%",CHCHD2/COX7A2L/NDUFB4/NDUFA11/FXN/NDUFB6/UQCRQ/IDH3B/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/MDH1/IDH1/NDUFC1/SUCLG2/NDUFB11/NDUFA4/COX4I1/PDHB/UQCRC2/NDUFA6/IDH3A/NDUFB1/NDUFA9/NDUFS7/DLST/NDUFB10/OGDH/COQ9/NDUFS4/NDUFA10/ADSL/SDHB/PDHA1/NDUFA5/CHCHD10/NNT/NDUFB7/CYCS/UQCRFS1/NDUFS3/NDUFA3/ACO2/UQCRB/UQCC2/SDHA/MDH2/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/FH/NDUFA8/NDUFB3/NDUFV1/SUCLA2/NDUFA13/PPIF/COX5B/COX6B1/NDUFV2/UQCRC1/CS/IDH3G/NDUFB8/NDUFB9/SUCLG1/COX7C/NDUFS6/NDUFV3/IDH2
GO:0044281,small molecule metabolic process,434,-0.43594030056178895,-2.2813847301583623,1.7518404156811128e-19,9.53877106338366e-17,7.081123364437341e-17,563,"tags=46%, list=27%, signal=42%",PRKACA/SLC16A1/GPI/NDUFS8/HINT1/OPA1/ENO3/PARK7/GPT2/PGK2/GPD2/PTGR2/GCSH/BCKDHB/DLAT/ACOT9/GAPDH/PGM1/ALDOA/DHRS7B/ALDH6A1/DDAH1/MAN2C1/RBKS/HSD17B10/SPR/PGAM2/ESD/NDUFB4/SIRT5/NUDT9/DBT/NDUFA11/FAHD2A/GOT1/GPD1L/NDUFB6/GLO1/PHKA1/FABP5/DCXR/PDK2/DBI/PRKAA2/PDXK/IDH3B/PGP/THAP4/CLYBL/TST/NDUFA2/TNXB/FAHD1/HMGCL/DLD/NDUFA12/HADHB/MAT2A/PKM/MMAB/CPT2/NDUFB5/PCBD2/MDH1/DHTKD1/ECH1/IDH1/HADHA/IVD/NDUFC1/FECH/CPT1B/SUCLG2/NDUFB11/PCCA/MACROD1/PCCB/PDHB/PTGES2/MAPK14/HIBCH/ETFA/AMPD1/COQ3/NDUFA6/PLIN5/RTN4IP1/IDH3A/NDUFB1/NDUFA9/NDUFS7/AUH/SCP2/DLST/NDUFB10/OGDH/PPT1/ASPA/COQ9/NDUFS4/COQ7/NAPRT/L2HGDH/NDUFA10/RDH13/HSD17B8/NOS1/ADSL/MPC2/ACSS1/SDHB/MCCC2/PDHA1/MGLL/ETFB/NDUFA5/NT5C/SLC25A11/PGM2L1/NNT/NDUFB7/ACSL1/ACOT2/CD38/BCO2/ACADS/MCCC1/NDUFS3/SORBS1/ALDH1A1/NDUFA3/ACO2/ACADSB/SFXN1/SDHA/COQ5/MDH2/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/FH/NDUFA8/NADK2/NDUFB3/PDHX/NDUFV1/ACSF2/ACAD8/ADH1B/SUCLA2/CRAT/NDUFA13/ABHD10/PFKFB1/COQ6/ETFDH/NDUFV2/CS/NUDT2/PPA2/IDH3G/ACAA2/MECR/NDUFB8/APOD/NDUFB9/ALDH4A1/VDAC1/ECHS1/DECR1/ECI2/ALDH5A1/ECI1/APIP/ACAT1/OSBPL1A/SUCLG1/IDI1/NDUFS6/GOT2/IDI2/MGST3/NDUFV3/IDH2/ACADM/HADH/HIBADH/NT5C1A/ADHFE1/GLUL/PPTC7/ECHDC3/SCPEP1/FBN1/RGN/MYH4
GO:0006091,generation of precursor metabolites and energy,194,-0.5520958778300125,-2.671541893959425,9.465794901493672e-19,4.1233002590906436e-16,3.060939151304059e-16,563,"tags=63%, list=27%, signal=51%",PRKACA/TRAP1/GPI/NDUFS8/PHB2/ENO3/PARK7/PGK2/GPD2/PNPT1/DLAT/GAPDH/PGM1/ALDOA/PHKB/RBKS/CHCHD2/COX7A2L/PGAM2/NDUFB4/NDUFA11/FXN/AGL/NDUFB6/PHKG1/PHKA1/PRKAA2/UQCRQ/IDH3B/NDUFA2/HMGCL/DLD/NDUFA12/PKM/NDUFB5/COA6/COX5A/MDH1/DHTKD1/HCCS/PPP1R3D/IDH1/NDUFC1/FECH/SUCLG2/NDUFB11/NDUFA4/COX4I1/PDHB/UQCRC2/ETFA/NDUFA6/IDH3A/NDUFB1/NDUFA9/NDUFS7/DLST/NDUFB10/OGDH/SOD2/COQ9/NDUFS4/NDUFA10/PYGM/ADSL/SDHB/PDHA1/ETFB/NDUFA5/CHCHD10/NNT/NDUFB7/CYCS/UQCRFS1/NDUFS3/SORBS1/NDUFA3/ACO2/UQCRB/UQCC2/SDHA/SLC25A12/MDH2/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/FH/NDUFA8/NDUFB3/NDUFV1/SUCLA2/NDUFA13/EPM2A/PFKFB1/PPIF/COX5B/SLC25A4/COX6B1/ETFDH/NDUFV2/UQCRC1/CS/IDH3G/CISD1/NDUFB8/NDUFB9/COQ10A/ACAT1/SUCLG1/COX7C/NDUFS6/NDUFV3/IDH2/ACADM/LYRM7/ADHFE1/ATG3/PPP1R1A
GO:0022904,respiratory electron transport chain,72,-0.7179611713166011,-2.9850586968804484,7.671184919312537e-18,2.784640125710451e-15,2.0671824624673784e-15,484,"tags=82%, list=23%, signal=65%",CHCHD2/COX7A2L/NDUFB4/NDUFB6/UQCRQ/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/MDH1/HCCS/NDUFC1/NDUFA4/COX4I1/UQCRC2/ETFA/NDUFA6/NDUFB1/NDUFA9/NDUFS7/NDUFB10/SOD2/COQ9/NDUFS4/NDUFA10/SDHB/ETFB/NDUFA5/NDUFB7/CYCS/UQCRFS1/NDUFS3/NDUFA3/UQCRB/SDHA/SLC25A12/MDH2/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/NDUFA8/NDUFB3/NDUFV1/COX5B/COX6B1/ETFDH/NDUFV2/UQCRC1/NDUFB8/NDUFB9/COX7C/NDUFS6/NDUFV3
GO:0022900,electron transport chain,73,-0.703229847983119,-2.914172384871263,8.110133983878688e-17,2.5234102595553977e-14,1.873258014922957e-14,403,"tags=81%, list=19%, signal=68%",CHCHD2/COX7A2L/NDUFB4/NDUFB6/UQCRQ/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/MDH1/HCCS/NDUFC1/NDUFA4/COX4I1/UQCRC2/ETFA/NDUFA6/NDUFB1/NDUFA9/NDUFS7/NDUFB10/SOD2/COQ9/NDUFS4/NDUFA10/SDHB/ETFB/NDUFA5/NDUFB7/CYCS/UQCRFS1/NDUFS3/NDUFA3/UQCRB/SDHA/SLC25A12/MDH2/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/NDUFA8/NDUFB3/NDUFV1/COX5B/COX6B1/ETFDH/NDUFV2/UQCRC1/NDUFB8/NDUFB9/COX7C/NDUFS6/NDUFV3
GO:0006119,oxidative phosphorylation,73,-0.6983334608264788,-2.8938818407789686,2.0598873825787364e-16,5.60804339907061e-14,4.163140815317025e-14,484,"tags=79%, list=23%, signal=63%",CHCHD2/COX7A2L/NDUFB4/NDUFA11/FXN/NDUFB6/UQCRQ/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/NDUFC1/NDUFB11/NDUFA4/COX4I1/UQCRC2/NDUFA6/NDUFB1/NDUFA9/NDUFS7/NDUFB10/COQ9/NDUFS4/NDUFA10/SDHB/NDUFA5/CHCHD10/NDUFB7/CYCS/UQCRFS1/NDUFS3/NDUFA3/UQCRB/UQCC2/SDHA/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/NDUFA8/NDUFB3/NDUFV1/NDUFA13/PPIF/COX5B/COX6B1/NDUFV2/UQCRC1/NDUFB8/NDUFB9/COX7C/NDUFS6/NDUFV3
GO:0042773,ATP synthesis coupled electron transport,61,-0.7175012847103226,-2.8522708262739456,6.5901736342913265e-15,1.435339817548651e-12,1.0655270212917345e-12,484,"tags=84%, list=23%, signal=66%",CHCHD2/COX7A2L/NDUFB4/NDUFB6/UQCRQ/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/NDUFC1/NDUFA4/COX4I1/UQCRC2/NDUFA6/NDUFB1/NDUFA9/NDUFS7/NDUFB10/COQ9/NDUFS4/NDUFA10/SDHB/NDUFA5/NDUFB7/CYCS/UQCRFS1/NDUFS3/NDUFA3/UQCRB/SDHA/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/NDUFA8/NDUFB3/NDUFV1/COX5B/COX6B1/NDUFV2/UQCRC1/NDUFB8/NDUFB9/COX7C/NDUFS6/NDUFV3
GO:0042775,mitochondrial ATP synthesis coupled electron transport,61,-0.7175012847103226,-2.8522708262739456,6.5901736342913265e-15,1.435339817548651e-12,1.0655270212917345e-12,484,"tags=84%, list=23%, signal=66%",CHCHD2/COX7A2L/NDUFB4/NDUFB6/UQCRQ/NDUFA2/DLD/NDUFA12/NDUFB5/COA6/COX5A/NDUFC1/NDUFA4/COX4I1/UQCRC2/NDUFA6/NDUFB1/NDUFA9/NDUFS7/NDUFB10/COQ9/NDUFS4/NDUFA10/SDHB/NDUFA5/NDUFB7/CYCS/UQCRFS1/NDUFS3/NDUFA3/UQCRB/SDHA/CYC1/UQCRH/NDUFS5/NDUFS2/NDUFA7/NDUFAB1/NDUFS1/NDUFA8/NDUFB3/NDUFV1/COX5B/COX6B1/NDUFV2/UQCRC1/NDUFB8/NDUFB9/COX7C/NDUFS6/NDUFV3
