ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
CC,GO:0030141,secretory granule,251,0.5369539717291557,2.2598303370710275,6.550943520404837e-16,1.8997736209174026e-12,1.4653426295642398e-12,430,"tags=41%, list=20%, signal=37%",CREG1/LTF/CTSG/DEFA1/DSP/S100A11/JUP/S100A8/CST3/CTSC/LYZ/CKAP4/ARG1/OSTF1/SERPINB3/FABP5/RHOG/ACTN1/TXNDC5/CTSA/VAT1/S100A9/DSC1/ARPC5/TMSB4X/ORM1/LGALS3/CALML5/ACTN4/S100A7/IQGAP1/VAMP3/COMMD3/CLU/CD44/PLG/ECM1/RAB18/DSG1/DBNL/MAPK14/AMPD3/FGG/ACTR2/MYH9/CAP1/ORM2/FGB/CTSB/CD9/CTSD/HMOX2/DDX3X/GSN/KRT1/ALB/LRG1/CPNE3/CSNK2B/PSMB7/HP/PGRMC1/PYGB/APOH/ANXA4/ANXA3/SERPING1/SLC44A2/RAB5C/ATP6V1A/TF/ANXA2/GYG1/STX7/DYNC1H1/FGA/DDOST/HMGB1/SCCPDH/CDC42/FTL/RAB6A/MIF/SNAP29/ASAH1/CALR/AHSG/LGALS3BP/PSMD6/SPAG9/GNAI2/HEXB/SERPINA1/SPTAN1/PPIA/RAC1/CSTB/APOA1/CTSZ/SERPINA3/CAND1/AP1M1/DYNLT1/RHOA
CC,GO:0099503,secretory vesicle,275,0.5224230075509267,2.2128764208252463,2.946569505691569e-15,4.272525783252775e-12,3.2955053682076756e-12,430,"tags=40%, list=20%, signal=37%",CREG1/LTF/CTSG/DEFA1/DSP/S100A11/JUP/S100A8/CST3/CTSC/LYZ/CKAP4/ARG1/OSTF1/SERPINB3/FABP5/RHOG/ACTN1/ARPC2/TXNDC5/CTSA/VAT1/S100A9/DSC1/ARPC5/TMSB4X/ORM1/LGALS3/CALML5/ACTN4/S100A7/IQGAP1/VAMP3/COMMD3/CLU/CD44/PLG/ECM1/RAB18/DSG1/DBNL/MAPK14/AMPD3/FGG/ACTR2/MYH9/CAP1/AP1B1/ORM2/FGB/CTSB/CD9/PPT1/CTSD/HMOX2/DDX3X/GSN/KRT1/ALB/LRG1/CPNE3/CSNK2B/PSMB7/HP/STX12/PGRMC1/PYGB/APOH/ANXA4/ANXA3/SERPING1/CLTB/SLC44A2/RAB5C/ATP6V1A/TF/ANXA2/GYG1/STX7/DYNC1H1/ATP6V1E1/FGA/DDOST/UBE3A/HMGB1/SCCPDH/CDC42/FTL/RAB6A/MIF/SNAP29/ASAH1/CALR/AHSG/LGALS3BP/PSMD6/SPAG9/GNAI2/HEXB/SERPINA1/SPTAN1/PPIA/RAC1/CSTB/APOA1/CTSZ/SERPINA3/CAND1/AP1M1/DYNLT1/RHOA
CC,GO:0005743,mitochondrial inner membrane,173,-0.4862963746622562,-2.463308395176857,1.0486133436406573e-13,7.602446741394765e-11,5.863956197990518e-11,724,"tags=60%, list=34%, signal=43%",SLC35A4/COX7C/NDUFS4/MRPL12/NDUFA9/NDUFS5/NDUFS8/NDUFAB1/CHCHD3/SHMT2/RDH13/TRAP1/NDUFS2/CYCS/COX6C/MTX1/STOML2/NDUFA7/HSPD1/CRAT/SDHB/MRPS35/CKMT2/TMEM11/UQCRC2/MRPL39/MPC2/NDUFB3/BDH1/NDUFS3/ENDOG/COX4I1/ATAD3A/NDUFC2/SPG7/MRPS25/MRPL19/COQ9/CPT2/HADHB/MRPS7/TMEM126A/SLC25A12/COQ3/HSPA9/HADHA/TIMM50/SURF1/NDUFV2/NDUFB10/L2HGDH/NDUFB11/GPD2/AIFM1/PAM16/NDUFB8/UQCRFS1/MRPS17/GRPEL1/AFG3L2/NDUFS1/COX5A/NDUFA13/AGK/NDUFV1/NDUFA12/COA3/SMIM20/NDUFA6/MRPL45/MRPL17/PPIF/TIMM44/COQ6/NDUFB5/COQ10A/APOO/PHB2/NDUFS7/MRPL4/LDHD/NDUFC1/NDUFA2/UQCC1/COA5/ACAD9/MRPS23/NDUFA3/ACADVL/MTX2/PTCD3/NDUFA11/NDUFB4/NDUFB1/NDUFAF2/UQCR10/TIMM22/COX7A1/UQCRQ/COX7A2/NDUFA4/COQ7/CHCHD10
CC,GO:0005740,mitochondrial envelope,243,-0.4395605342338717,-2.2914259074118797,8.180463711056852e-14,7.602446741394765e-11,5.863956197990518e-11,711,"tags=54%, list=34%, signal=41%",NDUFS4/MRPL12/NDUFA9/NDUFS5/NDUFS8/OGDH/NDUFAB1/CHCHD3/SHMT2/RDH13/TRAP1/HINT2/NDUFS2/CYCS/AK2/VDAC1/TMX1/COX6C/MTX1/HTRA2/ATAD1/STOML2/NDUFA7/HSPD1/ACSL1/HK1/DIABLO/CRAT/SDHB/MRPS35/CIAPIN1/CKMT2/TMEM11/UQCRC2/BCL2L13/MRPL39/MPC2/SOD1/NDUFB3/RTN4IP1/BDH1/NDUFS3/ENDOG/NLN/CHCHD2/NLRX1/COX4I1/ATAD3A/NDUFC2/SPG7/MRPS25/MRPL19/DNM1L/COQ9/SH3GLB1/CPT2/HADHB/MRPS7/TMEM126A/SLC25A12/COQ3/HSPA9/HADHA/TIMM50/SURF1/NDUFV2/NDUFB10/PNPT1/L2HGDH/NDUFB11/GPD2/AIFM1/PAM16/MAOB/NDUFB8/UQCRFS1/MRPS17/GRPEL1/AFG3L2/NDUFS1/COX5A/LYRM7/NDUFA13/AGK/NDUFV1/NDUFA12/COA3/SMIM20/FIS1/NDUFA6/MRPL45/TUFM/MRPL17/PPIF/TIMM44/COQ6/NDUFB5/COQ10A/APOO/PHB2/NDUFS7/MRPL4/LDHD/NDUFC1/NDUFA2/UQCC1/SUOX/COA5/CYB5B/ACAD9/MRPS23/BNIP1/NDUFA3/ACADVL/HSD17B8/MTX2/PTCD3/COA7/NDUFA11/PLN/NDUFB4/NDUFB1/NDUFAF2/UQCR10/TIMM22/COX7A1/UQCRQ/COX7A2/NDUFA4/DARS2/COQ7/CHCHD10
CC,GO:0031410,cytoplasmic vesicle,457,0.44698449392012385,1.9521554911158516,1.4309671512362739e-13,8.299609477170389e-11,6.401695150267542e-11,464,"tags=36%, list=22%, signal=36%",CREG1/ANXA1/LTF/CTSG/NDRG1/DEFA1/DSP/S100A11/JUP/S100A8/CST3/CTSC/LYZ/CKAP4/ARG1/OSTF1/SERPINB3/FABP5/RHOG/ACTN1/ARPC2/CORO1C/TXNDC5/CTSA/VAT1/S100A9/DSC1/ARPC5/TMSB4X/ORM1/LGALS3/CALML5/ACTN4/S100A7/VIM/IQGAP1/VAMP3/COMMD3/FKBP15/CLU/CD44/PLG/SNX1/PPIB/ECM1/COPG1/RAB18/ARHGDIB/DSG1/DBNL/MAPK14/AMPD3/YWHAZ/FGG/ARL8B/ACTR2/MYH9/CAP1/AP1B1/COPB2/TMED7/EZR/ORM2/HPX/FGB/CTSB/CD9/PPT1/CTSD/HMOX2/DDX3X/LMAN1/GSN/KRT1/ALB/FLOT1/HSPH1/EHD1/LRG1/TOM1L2/CPNE3/CSNK2B/PSMB7/HP/STX12/PDIA3/HSP90B1/VPS29/PGRMC1/PDIA4/PYGB/APOH/ANXA4/ANXA3/SERPING1/CLTB/SLC44A2/RAB5C/ATP6V1A/TF/SEC24C/ANXA2/GYG1/STX7/CHMP2A/DYNC1H1/ATP6V1E1/FGA/DDOST/UBE3A/HMGB1/SCCPDH/CDC42/LMAN2L/FTL/RAB6A/ATP1A1/CLTC/COPZ1/MIF/SNAP29/ASAH1/OSBPL1A/SEC31A/CALR/FLNB/CHMP4B/AHSG/LGALS3BP/MAP2K1/PSMD6/SPAG9/GNAI2/TSG101/COPA/HEXB/SERPINA1/SPTAN1/PPIA/RAC1/CSTB/P4HB/BGN/YWHAB/APOA1/LRPAP1/CTSZ/SERPINA3/CAND1/AP1M1/DYNLT1/RHOA/AKT2/RAB35/CHP1/APOA4/C3/GANAB/SND1/SERPINB1/PSMC5/DERA/LAMP1
CC,GO:0097708,intracellular vesicle,458,0.4466487379173417,1.9517980922192868,2.0696610028503278e-13,1.0003361513776585e-10,7.715841457994643e-11,464,"tags=36%, list=22%, signal=35%",CREG1/ANXA1/LTF/CTSG/NDRG1/DEFA1/DSP/S100A11/JUP/S100A8/CST3/CTSC/LYZ/CKAP4/ARG1/OSTF1/SERPINB3/FABP5/RHOG/ACTN1/ARPC2/CORO1C/TXNDC5/CTSA/VAT1/S100A9/DSC1/ARPC5/TMSB4X/ORM1/LGALS3/CALML5/ACTN4/S100A7/VIM/IQGAP1/VAMP3/COMMD3/FKBP15/CLU/CD44/PLG/SNX1/PPIB/ECM1/COPG1/RAB18/ARHGDIB/DSG1/DBNL/MAPK14/AMPD3/YWHAZ/FGG/ARL8B/ACTR2/MYH9/CAP1/AP1B1/COPB2/TMED7/EZR/ORM2/HPX/FGB/CTSB/CD9/PPT1/CTSD/HMOX2/DDX3X/LMAN1/GSN/KRT1/ALB/FLOT1/HSPH1/EHD1/LRG1/TOM1L2/CPNE3/CSNK2B/PSMB7/HP/STX12/PDIA3/HSP90B1/VPS29/PGRMC1/PDIA4/PYGB/APOH/ANXA4/ANXA3/SERPING1/CLTB/SLC44A2/RAB5C/ATP6V1A/TF/SEC24C/ANXA2/GYG1/STX7/CHMP2A/DYNC1H1/ATP6V1E1/FGA/DDOST/UBE3A/HMGB1/SCCPDH/CDC42/LMAN2L/FTL/RAB6A/ATP1A1/CLTC/COPZ1/MIF/SNAP29/ASAH1/OSBPL1A/SEC31A/CALR/FLNB/CHMP4B/AHSG/LGALS3BP/MAP2K1/PSMD6/SPAG9/GNAI2/TSG101/COPA/HEXB/SERPINA1/SPTAN1/PPIA/RAC1/CSTB/P4HB/BGN/YWHAB/APOA1/LRPAP1/CTSZ/SERPINA3/CAND1/AP1M1/DYNLT1/RHOA/AKT2/RAB35/CHP1/APOA4/C3/GANAB/SND1/SERPINB1/PSMC5/DERA/LAMP1
CC,GO:0031966,mitochondrial membrane,227,-0.42853565067778915,-2.2218159002133477,3.1612230261370097e-12,1.3096495393996182e-9,1.0101652527129543e-9,724,"tags=55%, list=34%, signal=40%",SLC35A4/COX7C/NDUFS4/MRPL12/NDUFA9/NDUFS5/NDUFS8/OGDH/NDUFAB1/CHCHD3/SHMT2/RDH13/TRAP1/HINT2/NDUFS2/CYCS/VDAC1/TMX1/COX6C/MTX1/HTRA2/ATAD1/STOML2/NDUFA7/HSPD1/ACSL1/HK1/CRAT/SDHB/MRPS35/CKMT2/TMEM11/UQCRC2/BCL2L13/MRPL39/MPC2/NDUFB3/RTN4IP1/BDH1/NDUFS3/ENDOG/NLRX1/COX4I1/ATAD3A/NDUFC2/SPG7/MRPS25/MRPL19/DNM1L/COQ9/SH3GLB1/CPT2/HADHB/MRPS7/TMEM126A/SLC25A12/COQ3/HSPA9/HADHA/TIMM50/SURF1/NDUFV2/NDUFB10/L2HGDH/NDUFB11/GPD2/AIFM1/PAM16/MAOB/NDUFB8/UQCRFS1/MRPS17/GRPEL1/AFG3L2/NDUFS1/COX5A/LYRM7/NDUFA13/AGK/NDUFV1/NDUFA12/COA3/SMIM20/FIS1/NDUFA6/MRPL45/TUFM/MRPL17/PPIF/TIMM44/COQ6/NDUFB5/COQ10A/APOO/PHB2/NDUFS7/MRPL4/LDHD/NDUFC1/NDUFA2/UQCC1/COA5/CYB5B/ACAD9/MRPS23/BNIP1/NDUFA3/ACADVL/MTX2/PTCD3/NDUFA11/PLN/NDUFB4/NDUFB1/NDUFAF2/UQCR10/TIMM22/COX7A1/UQCRQ/COX7A2/NDUFA4/DARS2/COQ7/CHCHD10
CC,GO:0030055,cell-substrate junction,178,0.5486903699561101,2.2379245000067143,3.720486436262084e-12,1.3486763331450055e-9,1.0402675890864381e-9,443,"tags=43%, list=21%, signal=37%",ANXA1/JUP/TPM4/LCP1/RPL30/SMPX/RHOG/ACTN1/ARPC2/CORO1C/ARPC5L/ARPC5/RPL27/ACTN4/RPLP2/S100A7/VIM/MARCKS/IQGAP1/ARPC3/YWHAQ/CTNNB1/CD44/RPS3A/ARPC1B/PPIB/ACTC1/ACTB/YWHAZ/ACTR2/MYH9/CAP1/RPL18/RPS17/CSRP1/EZR/THY1/CFL1/RPS18/CD9/FLNA/GSN/FLOT1/RPS5/RPS8/MSN/CPNE3/PDIA3/HSP90B1/DCAF6/RPLP1/RPL10A/RPL13A/RPL31/FLII/HSPB1/CDC42/RSU1/CLTC/CALR/FLNB/MAP2K1/PFN1/RPL7A/PPIA/RAC1/P4HB/YWHAB/RPL7/NRAP/RHOA/CNN3/RPL12/MAPRE1/CHP1/NPM1
CC,GO:0005759,mitochondrial matrix,205,-0.4424815776213316,-2.2777291447052437,5.208862287106497e-12,1.6784111814009824e-9,1.2946002760352407e-9,822,"tags=65%, list=39%, signal=44%",ECHS1/MRPL13/SLIRP/ALDH6A1/IARS2/GFM1/ECH1/PRKACA/TST/PDHA1/IDH3G/ACOT9/IDH3B/SUCLG1/GLUD1/TFAM/MRPL46/MECR/DLST/MCCC2/IDH3A/NUDT9/LRPPRC/MRPL12/NDUFA9/NDUFS8/TRMT10C/NADK2/OGDH/NDUFAB1/SOD2/PRDX3/GSTK1/SHMT2/TRAP1/HINT2/NDUFS2/FAHD1/PCCA/VDAC1/ABHD11/SUCLG2/ACAA2/AUH/HARS2/CMC1/HSPD1/HIBADH/SUCLA2/CBR4/DECR1/ACSF2/TMLHE/SDHB/ACO2/MRPS35/DNAJA3/PCCB/GOT2/MRPL39/SOD1/HIBCH/RTN4IP1/MLYCD/ALDH5A1/BDH1/MRRF/NDUFS3/GRSF1/DLD/LONP1/ATAD3A/BCKDHA/TXN2/IDH2/MRPS25/MRPL19/CS/HADHB/ACOT2/MRPS7/DLAT/PIN4/HSPA9/HADHA/PNPT1/FH/PAM16/ACSS2/HAGH/ACAD8/NDUFB8/UQCRFS1/SARS2/BCAT2/MRPS17/GRPEL1/NDUFS1/CASQ1/LYRM7/PDPR/ETFA/MDH2/PDHB/MRPL45/TUFM/HADH/IBA57/MRPL17/PPIF/TIMM44/HMGCL/ALDH2/PDHX/NDUFS7/MRPL4/SUOX/ALDH1B1/ETFB/ACAT1/MRPS23/ECI1/ACADVL/ACOT13/HSD17B8/ABHD10/ACADSB/PTCD3/ACADS/AK3/PDK4/TXNRD2/DARS2
CC,GO:0031983,vesicle lumen,148,0.5787528630540186,2.3045227156828765,7.397541327634798e-12,1.7877391541784094e-9,1.3789276597564865e-9,429,"tags=45%, list=20%, signal=39%",CREG1/LTF/CTSG/DEFA1/S100A11/JUP/S100A8/CTSC/LYZ/ARG1/OSTF1/SERPINB3/FABP5/ACTN1/TXNDC5/CTSA/VAT1/S100A9/ARPC5/TMSB4X/ORM1/ACTN4/S100A7/CLU/PLG/ECM1/DBNL/MAPK14/AMPD3/FGG/ACTR2/CAP1/ORM2/FGB/CTSD/DDX3X/GSN/ALB/LRG1/CSNK2B/PSMB7/HP/PYGB/APOH/SERPING1/TF/ANXA2/GYG1/DYNC1H1/FGA/HMGB1/SCCPDH/FTL/MIF/AHSG/LGALS3BP/PSMD6/HEXB/SERPINA1/SPTAN1/PPIA/CSTB/APOA1/CTSZ/SERPINA3/CAND1/DYNLT1
