Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
res_i,GO:0045333,cellular respiration,115,-0.7026144028207033,-3.580043417736435,1.8407375145586062e-30,3.990718931563058e-27,2.6739134422009228e-27,454,"tags=77%, list=21%, signal=64%",PDHA1/COA6/IDH3G/NDUFS6/NNT/SDHA/SUCLG2/DLST/COX6B1/NDUFB7/OGDH/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/SURF1/NDUFA10/NDUFA5/GPD2/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/NDUFS8/DLAT/MDH1/GPD1/COX4I1/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/NDUFB11/ETFA/SDHB/UQCRH/PNPT1/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/LYRM7/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/COQ10A/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0015980,energy derivation by oxidation of organic compounds,143,-0.636170333214675,-3.250769695466251,4.723741796715401e-28,5.120536107639495e-25,3.430928252351186e-25,556,"tags=74%, list=26%, signal=59%",ADSL/HCCS/SIRT3/NDUFV3/MFN2/PPP1R2/STOML2/AGL/PHKB/CHCHD2/IDH3B/PDHA1/COA6/IDH3G/NDUFS6/NNT/ACADM/SDHA/PYGM/PFKM/SUCLG2/DLST/COX6B1/NDUFB7/PPP1R1A/ADHFE1/OGDH/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/SURF1/NDUFA10/NDUFA5/GPD2/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/NDUFS8/DLAT/MDH1/GPD1/COX4I1/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/ACADVL/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/NDUFB11/ETFA/SDHB/UQCRH/PNPT1/PHKG1/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/LYRM7/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/COQ10A/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0022904,respiratory electron transport chain,72,-0.7791594921622033,-3.7232476277758977,2.2169930423009745e-27,1.6021469719028374e-24,1.0734913678509982e-24,405,"tags=88%, list=19%, signal=73%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/NDUFA10/NDUFA5/GPD2/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/MDH1/GPD1/COX4I1/NDUFB9/NDUFS5/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/ETFA/SDHB/UQCRH/NDUFA8/MDH2/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0006091,generation of precursor metabolites and energy,193,-0.5699271683259968,-3.11558154038517,1.0720835675430036e-26,5.810692936083079e-24,3.8933561137088025e-24,558,"tags=68%, list=26%, signal=55%",PRKAG1/ENO2/ADSL/HCCS/SIRT3/PGK1/GAPDH/NDUFV3/MFN2/PPP1R2/STOML2/AGL/PHKB/CHCHD2/DHTKD1/IDH3B/ALDOA/PDHA1/COA6/IDH3G/PGK2/NDUFS6/NNT/ACADM/SDHA/PYGM/OXCT1/COX17/PFKM/SUCLG2/DLST/COX6B1/PGM1/NDUFB7/PGAM2/PPP1R1A/TPI1/ADHFE1/FECH/OGDH/NDUFA9/RBKS/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/H6PD/UQCRB/COX7A2L/SURF1/SLC25A4/ENO3/NDUFA10/NDUFA5/GPD2/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/ALDH1L1/NDUFS8/DLAT/MDH1/GPD1/COX4I1/PHB2/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/ACADVL/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/NDUFB11/ETFA/SDHB/UQCRH/PNPT1/PHKG1/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/HMGCL/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/PFKFB1/NDUFA12/CYCS/LYRM7/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/COQ10A/ALDOC/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/ACAT1/NDUFA4/NDUFA11/UQCR10/SLC4A1/BPGM
res_i,GO:0009060,aerobic respiration,100,-0.7038259639800168,-3.516304947108451,1.843538637331531e-26,7.993583531469518e-24,5.355964883194764e-24,454,"tags=78%, list=21%, signal=64%",PDHA1/COA6/IDH3G/NDUFS6/NNT/SDHA/SUCLG2/DLST/COX6B1/NDUFB7/OGDH/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/SURF1/NDUFA10/NDUFA5/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/NDUFS8/DLAT/MDH1/COX4I1/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/NDUFS3/COX7C/DLD/COX6C/NDUFB11/SDHB/UQCRH/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0022900,electron transport chain,73,-0.7607722868478595,-3.6535347155464377,6.656284048147817e-26,2.4051373027307443e-23,1.6115214011305242e-23,405,"tags=86%, list=19%, signal=72%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/NDUFA10/NDUFA5/GPD2/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/MDH1/GPD1/COX4I1/NDUFB9/NDUFS5/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/ETFA/SDHB/UQCRH/NDUFA8/MDH2/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0019646,aerobic electron transport chain,58,-0.7958840177995998,-3.5617363623586713,2.2437339427935556e-24,6.949164554252041e-22,4.656169685797154e-22,405,"tags=91%, list=19%, signal=76%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/NDUFS5/NDUFS3/COX7C/DLD/COX6C/SDHB/UQCRH/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0006119,oxidative phosphorylation,73,-0.7455875164923571,-3.580611336763421,2.9394687740648424e-24,7.965960377715723e-22,5.337456458170373e-22,405,"tags=81%, list=19%, signal=68%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/CHCHD10/NDUFS5/NDUFS3/COX7C/DLD/COX6C/NDUFB11/SDHB/UQCRH/NDUFA13/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0042773,ATP synthesis coupled electron transport,61,-0.7783150286393492,-3.540489703064922,1.7889207199097434e-23,3.878380120764324e-21,2.598642729974154e-21,449,"tags=92%, list=21%, signal=74%",COA6/NDUFS6/SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/NDUFS5/NDUFS3/COX7C/DLD/COX6C/SDHB/UQCRH/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0042775,mitochondrial ATP synthesis coupled electron transport,61,-0.7783150286393492,-3.540489703064922,1.7889207199097434e-23,3.878380120764324e-21,2.598642729974154e-21,449,"tags=92%, list=21%, signal=74%",COA6/NDUFS6/SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/NDUFS5/NDUFS3/COX7C/DLD/COX6C/SDHB/UQCRH/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
